configuracion,representacion,procesamiento,modelo,train_accuracy,test_accuracy,precision,recall,f1_score,test_loss,tiempo_entrenamiento_seg,num_documentos
TFIDF + lemmatization,tfidf,lemmatization,SVM_Lineal,0.9732,0.9711,0.9779,0.9915,0.9847,,139.2664,886404
TFIDF + stemming,tfidf,stemming,SVM_Lineal,0.9732,0.9711,0.9779,0.9915,0.9847,,254.298,886404
TFIDF + stemming,tfidf,stemming,Logistic_Regression,0.9718,0.9702,0.9762,0.9923,0.9842,0.0819,199.0773,886404
TFIDF + lemmatization,tfidf,lemmatization,Logistic_Regression,0.9718,0.9702,0.9762,0.9923,0.9842,0.0819,206.2924,886404
BOW + lemmatization,bow,lemmatization,Logistic_Regression,0.9723,0.9698,0.9769,0.9912,0.984,0.0887,212.5594,886404
BOW + stemming,bow,stemming,Logistic_Regression,0.9723,0.9698,0.9769,0.9912,0.984,0.0887,234.9781,886404
BOW + stemming,bow,stemming,SVM_Lineal,0.9715,0.9691,0.9752,0.9922,0.9836,,210.8646,886404
BOW + lemmatization,bow,lemmatization,SVM_Lineal,0.9715,0.9691,0.9752,0.9922,0.9836,,203.5835,886404
TFIDF + lemmatization,tfidf,lemmatization,Naive_Bayes,0.9482,0.9479,0.9478,0.9994,0.9729,0.1224,189.2878,886404
TFIDF + stemming,tfidf,stemming,Naive_Bayes,0.9482,0.9479,0.9478,0.9994,0.9729,0.1224,177.671,886404
BOW + stemming,bow,stemming,Naive_Bayes,0.9373,0.9363,0.9858,0.9456,0.9653,0.3294,194.5015,886404
BOW + lemmatization,bow,lemmatization,Naive_Bayes,0.9373,0.9363,0.9858,0.9456,0.9653,0.3294,181.8573,886404
